name,phe
Nusskuchen aus Rührmasse,493
Rosinenkuchen aus Rührmasse,279
Nuss-Aprikosen-Kuchen aus Rührmasse,320
Marmorkuchen aus Rührmasse (mit Wasser zubereitet),302
Marmorkuchen aus Rührmasse (ohne Fett zubereitet),389
Marmorkuchen aus Rührmasse,394
Mandelkuchen aus Rührmasse,493
Makronenkuchen aus Rührmasse,447
Donau-Wellen aus Rührmasse,193
Schichtkuchen aus Rührmasse,280
Rodon-Kuchen aus Rührmasse,278
Apfelsinen-Kuchen aus Rührmasse,247
Ananas-Marzipan-Kuchen aus Rührmasse,368
Ottilienkuchen aus Rührmasse,424
Marmorkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),321
Rehrücken aus Rührmasse,430
Eiserkuchen aus Rührmasse,232
Früchtebrot aus Rührmasse,313
Quarkstollen aus Rührmasse,272
Schokoladenkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),396
Schokoladenkuchen aus Rührmasse (ohne Fett zubereitet),428
Quark-Napfkuchen aus Rührmasse,443
Schokoladenkuchen aus Rührmasse,412
Gewürzkuchen aus Rührmasse,346
Kuchen aus Sandmasse,238
Sandkuchen,238
Napfkuchen aus Sandmasse,252
Nusskuchen aus Sandmasse,435
Englischer Kuchen aus Sandmasse,252
Königskuchen aus Rührmasse,271
Frankfurter Kranz aus Sandmasse (ohne Flüssigkeit zubereitet),292
Frankfurter Kranz aus Sandmasse,175
Wiener Sandtorte,229
Kuchen aus Hefeteig energiereduziert,376
Hefezopf aus Hefeteig energiereduziert,376
Hefezopf Dreierlei aus Hefeteig energiereduziert,406
Anis-Zopf aus Hefeteig energiereduziert,359
Mohnrolle aus Hefeteig energiereduziert,426
"Mohnrolle aus Hefeteig energiereduziert (mit Milch 1,5% Fett zubereitet)",404
Mohnrolle aus Hefeteig energiereduziert (mit Wasser zubereitet),384
Mohnrolle aus Hefeteig energiereduziert (ohne Flüssigkeit zubereitet),451
Mohnrolle aus Hefeteig ohne Fett,404
Kuchen aus Hefeteig fettreich,290
Bienenstich aus Hefeteig ohne Fett (mit Buttermilch zubereitet),331
Bienenstich aus Hefeteig fettreich (mit Wasser zubereitet),244
