name,phe
Jambuse Fruchtnektar,6
Jambuse Konfitüre,8
Akee,189
Akee roh,189
Akee Konzentrat,448
Akee Fruchtsaft,180
Akee Fruchtnektar,45
Akee Konfitüre,70
Rambutan roh,38
Carissa,16
Carissa roh,16
Carissa Konzentrat,62
Carissa Fruchtsaft,15
Carissa Fruchtnektar,4
Carissa Konfitüre,6
Durian,103
Durian roh,103
Durian Konzentrat,224
Durian Fruchtsaft,99
Durian Fruchtnektar,25
Durian Konfitüre,38
Feijoa,38
Feijoa roh,38
Mangostane,23
Mangostane roh,23
Mangostane Konzentrat,99
Mangostane Fruchtsaft,21
Mangostane Fruchtnektar,5
Mangostane Konfitüre,8
Guave klein,2
Guave klein roh,2
Guave klein Konzentrat,11
Guave klein Fruchtsaft,2
Guave klein Fruchtnektar,1
Guave klein Konfitüre,1
Tamarillo,65
Tamarillo roh,65
Tamarillo Konzentrat,331
Tamarillo Fruchtsaft,59
Tamarillo Fruchtnektar,15
Tamarillo Konfitüre,24
Purpurgrenadilla,83
Purpurgrenadilla roh,83
Purpurgrenadilla Konzentrat,247
Purpurgrenadilla Fruchtsaft,77
Purpurgrenadilla Fruchtnektar,19
Purpurgrenadilla Konfitüre,31
Jabotikaba,20
Jabotikaba roh,20
Jabotikaba Konzentrat,89
Jabotikaba Fruchtsaft,19
Jabotikaba Fruchtnektar,5
Jabotikaba Konfitüre,7
Sternfrucht roh,47
Banane Pulpe,44
Zitrusfrüchte,27
Zitrusfrüchte roh,27
Zitrone,31
Zitrone roh,25
Zitrone Konzentrat,214
Zitrone Fruchtsaft,29
Zitrone Fruchtnektar,10
Limette,22
Limette roh,22
Limette Konzentrat,148
Limette Fruchtsaft,17
Limette Fruchtnektar,6
Orange / Apfelsine,27
Orange roh,20
Orange Konzentrat,64
Orange Fruchtsaft,8
Orange Fruchtnektar,9
Orange Konfitüre,9
Grapefruit,15
Grapefruit roh,10
Grapefruit Konzentrat,92
Grapefruit Fruchtsaft,14
Grapefruit Fruchtnektar,7
Grapefruit Konfitüre,6
Pampelmuse,30
Pampelmuse roh,30
Pampelmuse Konzentrat,186
Pampelmuse Fruchtsaft,28
Pampelmuse Fruchtnektar,14
Mandarine,30
Mandarine roh,25
Mandarine Konzentrat,169
Mandarine Fruchtsaft,39
Mandarine Fruchtnektar,20
Mandarine Konfitüre,11
Clementine,28
Clementine roh,28
Clementine Konzentrat,172
Clementine Fruchtsaft,26
Clementine Fruchtnektar,13
Clementine Konfitüre,10
Satsuma,30
Satsuma roh,30
Satsuma Konzentrat,180
Satsuma Fruchtsaft,28
Satsuma Fruchtnektar,14
Satsuma Konfitüre,11
Tangerine,32
Tangerine roh,32
Tangerine Konzentrat,198
Tangerine Fruchtsaft,30
Tangerine Fruchtnektar,15
Tangerine Konfitüre,12
Kumquat,26
Kumquat roh,26
Kumquat Konzentrat,111
Kumquat Fruchtsaft,25
Kumquat Fruchtnektar,13
Kumquat Konfitüre,10
Orange Pulpe,27
Diabetikererzeugnisse,5
Konserve Kompott/Mus für Diabetiker,5
Fruchtschnitten,218
Fruchtcreme,218
Rosinen,47
Sultaninen,87
Zibeben,87
Rote Grütze Konserve,25
Rote Grütze Konserve energiereduziert,28
Grüne Grütze Konserve,18
Grüne Grütze Konserve energiereduziert,20
Apfelmus Konserve,8
Apfelmus Konserve energiereduziert,10
Blaubeerkompott Konserve energiereduziert,22
Preiselbeerkompott Konserve,42
Preiselbeerkompott Konserve energiereduziert,12
Aprikosenkompott Konserve,23
Aprikosenkompott Konserve energiereduziert,28
Pfirsichkompott Konserve,18
Pfirsichkompott Konserve energiereduziert,19
Cashewmus pur,794
Himbeersoße Konserve,324
Gemüse,30
Gemüse roh,30
Algen roh,233
Braunalge roh,78
Braunalge Pulver,600
Rotalge roh,284
Rotalge Pulver,2258
Spirulina roh,233
Spirulina Pulver,2381
Kapern roh,130
Pfefferminze frisch,150
Küchenkräuter,263
Küchenkräuter I frisch (Kräutermischung für Salate),193
Basilikum frisch,122
Beifuß,138
Beifuß frisch,138
Bohnenkraut,44
Borretsch,71
Borretsch frisch,71
Borretsch Pulver,600
Dill,146
Dill frisch,146
Dill Pulver,721
Estragon,134
Estragon frisch,134
Fenchelsamen frisch,658
Fenchelsamen Pulver,720
Kerbel,233
Kerbel frisch,233
Kerbel Pulver,1246
Küchenkräuter II frisch (Kräutermischung für Fisch/Wild),214
Liebstöckel,138
Liebstöckel frisch,138
Lorbeer,48
Majoran,81
Majoran frisch,81
Oregano,87
Oregano frisch,87
Pimpinelle,138
Pimpinelle frisch,138
Rosmarin,32
Rosmarin frisch,32
Salbei,68
Salbei frisch,68
Küchenkräuter III frisch (Kräutermischung für Fleisch),180
Schnittlauch,126
Schnittlauch frisch,126
Schnittlauch Pulver,887
Thymian,58
Thymian frisch,58
Wacholder,138
Wacholder frisch,138
Weinraute frisch,138
Zitronenmelisse frisch,138
Zitronenmelisse Pulver,1000
Sellerieblätter,43
Sellerieblätter frisch,43
Sellerieblätter Pulver,478
Kräuter der Provence frisch,110
Kräutermischung,177
Kräutermischung frisch,177
Frankfurter Grüne Soße Kräutermischung,126
Gemüsemischung roh,132
Gemüsemischung Saft,117
Gemüsemischung Trunk,111
Suppengrün roh,53
Suppengrün Pulver,522
Salatgemüse,58
Salatgemüse roh,58
Chicoree,68
Chicoree roh,65
Endivien (Escariol),94
Endivien roh,94
Eisbergsalat,54
Eisbergsalat roh,54
Feldsalat (Rapunzel),99
Feldsalat roh,96
Kopfsalat,58
Kopfsalat roh,54
Radicchio,64
Radicchio roh,64
Romanosalat,86
Romanosalat roh,86
Schnittsalat (Blatt-/ Pflücksalat),70
Schnittsalat roh,70
Zuckerhutsalat,64
Zuckerhutsalat roh,64
Lollo Rosso roh,70
Rucola roh,119
Blattgemüse,127
Blattgemüse roh,127
Spinat roh,127
Spinat Trunk,44
Blattspinat roh,110
Blattspinat Trunk,44
Spinat chinesisch roh,194
Spinat chinesisch Trunk,66
Spinat neuseeländisch roh,83
Spinat neuseeländisch Trunk,28
Bleichsellerie roh,69
Bleichsellerie Trunk,23
Sellerie roh,69
Mangold,86
Mangold roh,70
Mangold Trunk,30
Melde roh,159
Melde Pulver,1869
Melde Trunk,63
Petersilienblatt,263
Petersilienblatt frisch,243
Petersilienblatt Pulver,1406
Wildgemüse,393
Brennnessel,393
Brennnessel roh,285
Brennnessel Pulver,2561
Brennnessel Trunk,135
Löwenzahn,161
Löwenzahn roh,139
Löwenzahn Pulver,1416
Löwenzahn Trunk,56
Sauerampfer,192
Sauerampfer roh,192
Sauerampfer Pulver,2386
Sauerampfer Trunk,65
Brunnenkresse,73
Brunnenkresse frisch,58
Brunnenkresse Pulver,1045
Brunnenkresse Trunk,25
Kresse (Gartenkresse),226
Kresse frisch,226
Kresse Pulver,1685
Kresse Trunk,78
Rübenblatt roh,117
Rübenblatt Trunk,41
Weinblätter roh,327
Weinblätter Konserve in Öl,327
Kohlgemüse,31
Kohlgemüse roh,31
Blütenkohl roh,84
Blumenkohl roh,77
Blumenkohl frittiert (zubereitet ohne Fett),85
Blumenkohl Trunk,29
Broccoli roh,120
Broccoli Trunk,49
Blattkohl roh,45
Chinakohl roh,47
Chinakohl Trunk,15
Grünkohl roh,140
Grünkohl Trunk,55
Pakchoy roh,45
Sprossenkohl roh,145
Kohlrabi roh,45
Kohlrabi Trunk,16
Rosenkohl roh,150
Rosenkohl Trunk,50
Kopfkohl,33
Rotkohl roh,32
Rotkohl Trunk,11
Weißkohl roh,30
Weißkohl Trunk,10
Wirsingkohl roh,120
Wirsingkohl Trunk,41
Spitzkohl,64
Spitzkohl roh,64
Spitzkohl Trunk,22
Sauerkraut Saft,41
Sauerkraut Trunk,16
Weinsauerkraut,47
Weinsauerkraut roh,47
Fertiggerichte energiereduziert,84
Elsässer Sauerkraut energiereduziert,40
Romanesco (Minarettkohl) roh,84
Artischocken roh,95
Artischockenboden,95
Artischockenboden roh,95
Stielmus (Rübstiel) roh,79
Fenchel,55
Fenchel Knolle roh,55
Fenchel Blatt (Bologneser Fenchel) roh,96
Palmenherz roh,99
Spargel roh,60
Spargel weiß,62
Spargel weiß roh,62
Portulak roh,83
Portulak Trunk,28
Porree roh,63
Zwiebeln,40
Zwiebeln roh,35
Zwiebeln frittiert (zubereitet ohne Fett),40
Zwiebeln Konzentrat,287
Zwiebeln Pulver,468
Zwiebeln Trunk,14
Winterzwiebel roh,50
Winterzwiebel Pulver,507
Winterzwiebel Trunk,17
Gemüsezwiebel roh,40
Perlzwiebel,58
Perlzwiebel roh,58
Perlzwiebel Pulver,280
Perlzwiebel Trunk,20
Schalotte,58
Schalotte roh,58
Schalotte Pulver,767
Lauchzwiebel roh,34
Silberzwiebel roh,40
Knoblauch,241
Knoblauch roh,241
Knoblauch Pulver,635
Bärlauch roh,34
Fruchtgemüse,15
Fruchtgemüse roh,15
Aubergine roh,54
Aubergine frittiert (zubereitet ohne Fett),59
Gurke,15
Gurke roh,14
Gurke Trunk,5
Okra roh,100
Paprikaschoten roh,53
Paprikaschoten Pulver,742
Gemüsepaprika grün,53
Gemüsepaprika grün roh,53
Gemüsepaprika grün frittiert (zubereitet ohne Fett),54
Gemüsepaprika rot,63
Gemüsepaprika rot roh,63
Gemüsepaprika rot blanchiert,66
Pfefferschoten roh,78
Pfefferschoten Pulver,578
Pfefferschote süß roh,78
Pfefferschote grün,63
Pfefferschote grün roh,63
Pfefferschote grün Pulver,468
Pfefferschote rot roh,87
Tomaten,30
Tomaten roh,30
Tomaten Konzentrat,307
Tomaten Trunk,11
Tomate rot,30
Tomate rot roh,24
Tomate rot blanchiert,35
Tomate rot Trunk,11
Tomate grün roh,35
Fleischtomate roh,30
Zuckermais roh,200
Kürbisse,34
Kürbisse roh,34
Kürbis (Squash winter),43
Kürbis roh,29
Kürbis Trunk,12
Zucchini roh,83
Zucchini frittiert (zubereitet ohne Fett),84
Chayote roh,44
Chayote Pulver,539
Chayote Trunk,15
Kalebasse (Flaschenkürbis) roh,17
Kürbis (Pumkin) roh,45
Wachsflaschenkürbis roh,17
Gartenkürbis roh,20
Rüben roh,32
Rüben Konzentrat,175
Kohlrübe roh,42
Teltower Rübchen roh,30
Rote Rübe roh,26
Rote Rübe Konzentrat,131
Rote Rübe Trunk,10
Weiße Rübe roh,18
"Karotte (Mohrrübe, Möhre) roh",31
"Karotte (Mohrrübe, Möhre) Trunk",10
Meerrettich,68
Meerrettich roh,45
Meerrettich Paste,68
Pastinake roh,45
Pastinake Trunk,20
Schwarzwurzel roh,55
Knollensellerie roh,47
Knollensellerie Trunk,21
Wurzelpetersilie roh,68
Wurzelpetersilie Pulver,491
Rettich,47
Rettich roh,47
Rettich Pulver,824
Rettich Trunk,16
Rettich weiß roh,47
Rettich rot roh,47
Rettich schwarz roh,47
Radieschen Oberbegriff,46
Radieschen Oberbegriff roh,46
Radieschen roh,46
Radieschen Weiße Eiszapfen roh,48
Wasabi roh,207
Hülsenfruchtgemüse (unreif),81
Hülsenfruchtgemüse roh,81
Helmbohnen indisch roh,49
Bohnen grün roh,73
Buschbohnen grün roh,81
Stangenbohnen grün,81
Stangenbohnen grün roh,81
Wachsbohnen roh,105
Bohnen dick (Acker-/Puff-/Saubohnen),327
Bohnen dick roh,327
Prunkbohnen,327
Prunkbohnen roh,327
Sojabohnen,564
Sojabohnen roh,564
Sojabohnen Pulver,1702
Erbsen grün roh,400
Erbsen grün Pulver,1367
Zuckererbsen,152
Zuckererbsen roh,152
Markerbsen roh,353
Schalerbsen roh,353
Kichererbsen,375
Kichererbsen roh,375
Limabohne roh,179
Chinabohnen,355
Chinabohnen roh,355
Chinabohne roh,355
Strauchbohnen roh,680
Strauchbohnen Pulver,2574
Kohlgemüsesuppen Trockenprodukt,434
Blumenkohlsuppe Trockenprodukt,434
Gurke milchsauer,9
Gurke süß-sauer milchsauer,9
Salz-Dill-Gurke milchsauer,10
Bohnen milchsauer,43
Mixed Pickles,54
Gemüsemischung in Tomatensoße Konserve,101
Meerrettich Dressing Konserve,125
Kräutersoße Konserve,154
Erbswurst,516
Helle Soße Konserve,34
Braten Soße Konserve,142
Tomatensoße Konserve,58
Knoblauchsoße Konserve,120
Petersiliensoße Konserve,91
Pfeffersoße Konserve,101
Chili Soße Konserve,86
Zwiebelsoße Konserve,39
Paprikasoße Konserve,153
Zwiebelsuppe Konserve,36
Gemüsesuppe Konserve,247
Erbsensuppe Konserve,132
Gemüsecremesuppe Konserve,42
Lauchcremesuppe Konserve,218
Spargelcremesuppe Konserve,222
Tomatencremesuppe Konserve,28
Französische Zwiebelsuppe Konserve,103
Tomatensuppe Konserve,30
Vegetarische Pasteten,561
Bratlinge (nass),849
Bohnentopf energiereduziert,97
Erbsentopf energiereduziert,134
Linsentopf energiereduziert,280
Kohlroulade Konserve,210
Gemüsemischung Erbsen-Karotten roh,193
Gemüsemischung mexikanische Art roh,182
Gemüsemischung chinesische Art roh,110
Gemüsemischung chinesische Art frittiert (zubereitet ohne Fett),111
Noriblatt,532
Sojaeiweiß,2769
Sojaeiweißisolat,0
Sojalecithin,0
Sojaklöße (nass) Konserve,1674
Sojawurst Konserve,561
Sojakonzentrat texturiert (VEP),0
Glasnudeln roh,11
Nüsse,1567
Nüsse roh,1567
Nussmus,729
Erdnuss,1567
Erdnuss roh,1540
Erdnuss entfettet,2959
Erdnuss Mehl,1624
Erdnuss Mehl entfettet,2833
Erdnussmus,1426
Walnüsse,700
Walnuss roh,650
Walnüsse Mehl,710
Walnüsse Mus,710
Walnuss europäisch,700
Walnuss europäisch roh,700
Walnuss schwarz roh,906
Walnuss grau roh,926
Haselnuss,712
Haselnuss roh,680
Haselnuss Mehl,729
Haselnussmus,729
Hickorynuss roh,551
Hickorynuss entfettet,1929
Hickorynuss Mehl,567
Hickorynuss Mehl entfettet,2146
Kokosnuss,193
Kokosnuss roh,180
Kokosnuss entfettet,298
Kokosmilch,11
Kokosfruchtfleisch,193
Kokosfruchtfleisch roh,193
Pecannuss roh,551
Cashewnuss,984
Cashewnuss roh,970
Cashewnuss Mehl entfettet,1855
Paranuss,716
Paranuss roh,710
Paranuss Mehl,727
Macadamianuss roh,274
Anderes Schalenobst,1200
Mandel süß,1200
Mandel süß roh,1160
Mandel süß Mehl,1243
Mandel süß Pulver,1200
Mandel süß Mus,1243
Mandelmus,788
Mandelmus pur,788
Mandel bitter,1200
Mandel bitter roh,1255
Edelkastanien,113
Edelkastanie (Marone) roh,110
Edelkastanien (Maronen) Mehl,188
Edelkastanien (Maronen) Mus,116
Kastanie europäisch (Marone) roh,113
Kastanie chinesisch roh,190
Kastanie japanisch roh,77
Pistazie,1066
Pistazie roh,1066
Kolanuss roh,233
Kolanuss Mus,257
Wassernüsse roh,62
"Wasserkastanie (Wassernuss chin., Sumpfsimse süß) roh",62
Kerne,1534
Kürbiskern,1534
Kürbiskern roh,1534
Kürbiskern Pulver,1534
Pinienkern,892
Pinienkern roh,892
Pfirsichkern,1256
Pfirsichkern roh,1256
Aprikosenkern,1256
Ölsamen,1107
Ölsamen roh,1107
Leinsamen,1107
Leinsamen roh,1070
Leinsamen entölt entfettet,1708
Leinsamen Pulver,1107
Sesam,1255
Sesam roh,1250
Sesam Pulver,1255
Sonnenblumenkern,1289
Sonnenblumenkern roh,1250
Sonnenblumenkern entölt entfettet,1714
Sonnenblumenkernmehl,1960
Sonnenblumenkernmehl entfettet,2270
Sonnenblumenkern Mus,929
Mohn,946
Mohn roh,1100
Mohn entölt entfettet,1604
Baumwollsaat,1232
Baumwollsaat roh,1232
Baumwollsaat Mehl,2306
Baumwollsaat Mehl entfettet,2804
Buchecker,281
Buchecker roh,281
Bucheckern entölt entfettet,551
Bucheckern Mehl entfettet,563
Saflorsaat,748
Saflorsaat roh,748
Ölfrüchte,62
Ölfrüchte roh,63
Oliven,62
Oliven grün roh,63
Oliven schwarz,45
Oliven schwarz roh,100
Bambussprossen roh,88
Sojasprossen roh,257
Bohnensprossen,199
Bohnensprossen roh,199
Luzernensprossen (Alfalfa),213
Luzernensprossen (Alfalfa) roh,213
Mungobohnensprossen,172
Mungobohnensprossen roh,172
Getreidesprossen roh,149
Hülsenfrüchte reif,1139
Hülsenfrüchte reif roh,1139
Helmbohnen indisch reif roh,1136
Helmbohnen indisch reif Mehl,1160
Helmbohnen indisch reif Konserve,283
Chinabohnen reif roh,1332
Chinabohnen reif Konserve,331
Straucherbsen reif roh,1740
Straucherbsen reif Mehl,1573
Straucherbsen reif Konserve,381
Tamarinden (Sauerdattel) reif roh,128
Tamarinden (Sauerdattel) reif Mehl,130
Tamarinden (Sauerdattel) reif Konserve,32
Erbsen reif roh,1139
Erbsen reif Mehl,1199
Kichererbsen reif roh,990
Linsen reif roh,1237
Linsen reif Mehl,1278
Bohne weiß roh,1260
Bohne weiß Mehl,1289
