name,phe,icon
"Game meat, goat, cooked, roasted",941,🍖
"Game meat, goat, raw",715,🐐
"Game meat, boar, wild, raw",86,🍖
"Game meat, beaver, cooked, roasted",1417,🍖
"Game meat, buffalo, water, raw",817,🍖
"Game meat, elk, raw",91,🍖
"Game meat, boar, wild, cooked, roasted",1132,🍖
"Game meat, buffalo, water, cooked, roasted",1075,🍖
"Game meat, elk, cooked, roasted",1198,🍖
"Game meat, beaver, raw",977,🍖
"Game meat, antelope, raw",886,🦌
"Veal, sirloin, separable lean and fat, cooked, roasted",1015,🌱
"Veal, ground, raw",749,🍖
"Veal, cubed for stew (leg and shoulder), separable lean only, cooked, braised",141,🌱
"Veal, ground, cooked, broiled",984,🍖
"Bison, ground, grass-fed, raw",859,🍔
"Veal, sirloin, separable lean and fat, raw",769,🌱
"Veal, shoulder, blade, separable lean only, cooked, roasted",1035,🌱
"Veal, shoulder, arm, separable lean and fat, cooked, roasted",1028,🌱
"Veal, shoulder, arm, separable lean only, raw",809,🌱
"Veal, sirloin, separable lean and fat, cooked, braised",1262,🌱
"Veal, shoulder, arm, separable lean only, cooked, braised",1442,🌱
"Veal, shoulder, arm, separable lean only, cooked, roasted",1055,🌱
"Veal, shoulder, whole (arm and blade), separable lean only, raw",799,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",1294,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",778,🌱
"Veal, rib, separable lean and fat, raw",761,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, roasted",1022,🌱
"Veal, rib, separable lean and fat, cooked, braised",1309,🌱
"Veal, loin, separable lean only, cooked, roasted",1062,🌱
"Veal, leg (top round), separable lean only, cooked, braised",1481,🌱
"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",1174,🌱
"Veal, leg (top round), separable lean only, cooked, pan-fried, not breaded",1339,🌱
"Veal, loin, separable lean only, cooked, braised",1355,🌱
"Veal, leg (top round), separable lean and fat, raw",847,🌱
"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",777,🌱
"Veal, composite of trimmed retail cuts, separable fat, cooked",38,🌱
"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",1148,🌱
"Veal, composite of trimmed retail cuts, separable fat, raw",243,🌱
"Veal, composite of trimmed retail cuts, separable lean only, cooked",1287,🌱
"Veal, leg (top round), separable lean only, raw",859,🌱
"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",954,🌱
"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",962,🌱
"Peanuts, all types, oil-roasted, without salt",1427,🌱
"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",636,🌱
"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",813,🌱
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",451,🌱
"Hyacinth beans, mature seeds, cooked, boiled, with salt",41,🌱
"Peas, split, mature seeds, cooked, boiled, with salt",384,🌱
"Mungo beans, mature seeds, cooked, boiled, with salt",44,🍲
"Mung beans, mature seeds, cooked, boiled, with salt",425,🍲
"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",475,🍲
"Lentils, mature seeds, cooked, boiled, with salt",445,🌱
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",237,🌱
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",265,🌱
"Beans, yellow, mature seeds, cooked, boiled, with salt",496,🍯
"Beans, small white, mature seeds, cooked, boiled, with salt",485,🌱
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",317,🌱
"Beans, white, mature seeds, cooked, boiled, with salt",526,🍚
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",479,🌱
"Beans, kidney, red, mature seeds, cooked, boiled, with salt",469,🍲
"Beans, black turtle, mature seeds, cooked, boiled, with salt",442,🍲
"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",505,🌱
"Beans, french, mature seeds, cooked, boiled, with salt",381,🍲
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",513,🍲
"Beans, black, mature seeds, canned, low sodium",356,🌱
"Beans, black, mature seeds, cooked, boiled, with salt",479,🍽
"Hyacinth beans, mature seeds, cooked, boiled, without salt",41,🌱
"Cowpeas, catjang, mature seeds, cooked, boiled, without salt",475,🍲
"Hyacinth beans, mature seeds, raw",1204,🌱
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids",265,🌱
"Chili with beans, canned",292,🌶
"Beans, white, mature seeds, canned",392,🍚
"Cowpeas, catjang, mature seeds, raw",1393,🍛
"Beans, white, mature seeds, cooked, boiled, without salt",526,🍚
"Broadbeans (fava beans), mature seeds, raw",1103,🌱
"Beans, white, mature seeds, raw",1263,🌱
"Beans, pinto, mature seeds, cooked, boiled, without salt",531,🍲
"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1095,🌱
"Beans, pinto, mature seeds, canned, solids and liquids",237,🍽
"Beans, pink, mature seeds, cooked, boiled, without salt",49,🌱
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",513,🍲
"Beans, great northern, mature seeds, cooked, boiled, without salt",451,🍚
"Beans, great northern, mature seeds, canned",435,🍽
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",469,🍲
"Beans, kidney, red, mature seeds, canned, solids and liquids",317,🍲
"Beans, kidney, royal red, mature seeds, raw",137,🌱
"Beans, kidney, all types, mature seeds, raw",1275,🌱
"Beans, baked, canned, with pork",285,🥓
"Beans, black turtle, mature seeds, raw",1149,🌱
"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1182,🌱
"Beans, black turtle, mature seeds, canned",356,🍽
"Beans, black turtle, mature seeds, cooked, boiled, without salt",442,🌱
"Beans, cranberry (roman), mature seeds, raw",1245,🌱
"Beans, baked, canned, plain or vegetarian",267,🍽
"Beans, baked, canned, with franks",349,🌭
"Beans, baked, canned, with beef",329,🍔
"Fish, tilapia, raw",81,🐟
"Fish, salmon, pink, canned, drained solids",951,🐟
"Salmon, sockeye, canned, total can contents",877,🌱
"Fish, tilapia, cooked, dry heat",105,🐟
"Mollusks, oyster, eastern, farmed, cooked, dry heat",251,🌱
"Mollusks, oyster, eastern, farmed, raw",187,🍤
"Crustaceans, crayfish, mixed species, farmed, raw",625,🦀
"Mollusks, oyster, eastern, wild, cooked, dry heat",321,🌱
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat",737,🦀
"Fish, salmon, Atlantic, farmed, cooked, dry heat",863,🌱
"Crustaceans, crab, alaska king, raw",773,🦀
"Fish, catfish, channel, farmed, cooked, dry heat",735,🌱
"Fish, salmon, Atlantic, farmed, raw",845,🐟
"Fish, catfish, channel, farmed, raw",607,🌱
"Fish, yellowtail, mixed species, raw",904,🐟
"Fish, tuna, white, canned in water, drained solids",922,🐟
"Fish, whiting, mixed species, cooked, dry heat",917,🐟
"Fish, tuna salad",626,🐟
"Fish, tuna, white, canned in oil, drained solids",1036,🐟
"Fish, wolffish, Atlantic, raw",683,🐟
"Fish, tuna, fresh, yellowfin, raw",913,🐟
"Fish, sucker, white, raw",654,🐟
"Fish, trout, rainbow, wild, raw",799,🐟
"Fish, sunfish, pumpkin seed, raw",757,🐟
"Fish, tuna, fresh, skipjack, raw",859,🐟
"Fish, trout, rainbow, wild, cooked, dry heat",895,🐟
"Fish, tilefish, cooked, dry heat",956,🐟
"Fish, trout, mixed species, raw",811,🐟
"Fish, smelt, rainbow, raw",688,🐟
"Fish, sturgeon, mixed species, smoked",1218,🐟
"Fish, sturgeon, mixed species, cooked, dry heat",808,🌱
"Fish, sheepshead, cooked, dry heat",1016,🐟
"Fish, smelt, rainbow, cooked, dry heat",882,🐟
"Fish, sheepshead, raw",789,🐟
"Fish, scup, raw",737,🐟
"Fish, sea bass, mixed species, raw",72,🐟
"Fish, shark, mixed species, cooked, batter-dipped and fried",75,🌱
"Fish, sardine, Atlantic, canned in oil, drained solids with bone",961,🌱
"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",793,🐟
"Fish, roughy, orange, raw",626,🐟
"Fish, salmon, pink, raw",845,🐟
"Fish, salmon, chum, canned, drained solids with bone",837,🌱
"Fish, sablefish, raw",524,🐟
"Fish, salmon, coho, wild, cooked, moist heat",1068,🌱
"Fish, salmon, coho, wild, raw",844,🐟
"Fish, pike, walleye, raw",747,🐟
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",471,🐟
"Fish, pike, northern, cooked, dry heat",964,🐟
"Fish, pollock, Atlantic, raw",759,🐟
"Fish, rockfish, Pacific, mixed species, cooked, dry heat",935,🐟
"Fish, roe, mixed species, raw",1092,🐟
"Fish, mullet, striped, cooked, dry heat",968,🌱
"Fish, ocean perch, Atlantic, raw",638,🐟
"Fish, mackerel, king, raw",792,🐟
"Fish, ocean perch, Atlantic, cooked, dry heat",772,🐟
"Fish, mullet, striped, raw",755,🐟
"Fish, herring, Atlantic, cooked, dry heat",899,🌱
"Fish, mackerel, Atlantic, cooked, dry heat",931,🐟
"Fish, mackerel, jack, canned, drained solids",905,🌱
"Fish, herring, Atlantic, pickled",554,🐟
"Fish, mackerel, Atlantic, raw",726,🐟
"Fish, herring, Atlantic, raw",701,🐟
"Beverages, shake, fast food, strawberry",162,🌱
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",5,🍊
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",136,🍸
"Game meat, horse, raw",879,🐴
"Game meat, horse, cooked, roasted",1157,🍖
"Game meat, deer, cooked, roasted",1233,🦌
"Taco shells, baked, without added salt",354,🌮
"Crackers, saltines, fat-free, low-sodium",514,🍞
"English muffins, plain, enriched, without calcium propionate(includes sourdough)",379,🍞
"Pie, fried pies, lemon",138,🍋
"Popovers, dry mix, unenriched",517,🍞
"Crackers, cheese, low sodium",49,🧀
"Pie crust, standard-type, frozen, ready-to-bake, unenriched",182,🥧
"Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)",31,🍩
"Danish pastry, raspberry, unenriched",267,🌱
"Crackers, wheat, low salt",412,🍞
"Crackers, saltines, low salt (includes oyster, soda, soup)",493,🍞
"Cake, pudding-type, white, unenriched, dry mix",183,🌱
"Crackers, standard snack-type, regular, low salt",371,🍞
"Cake, yellow, unenriched, dry mix",204,🍰
"Cake, pound, commercially prepared, other than all butter, unenriched",259,🌱
"Crackers, saltines, unsalted tops (includes oyster, soda, soup)",452,🍞
"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",519,🍞
"Pancakes, buttermilk, prepared from recipe",339,🌱
"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",519,🍞
"Cake, coffeecake, cinnamon with crumb topping, commercially prepared, unenriched",324,🌱
"Waffles, plain, frozen, ready -to-heat, toasted",31,🌱
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",519,🍞
"Leavening agents, yeast, baker's, active dry",175,🍞
"Muffins, blueberry, toaster-type, toasted",242,🌱
"Muffins, wheat bran, toaster-type with raisins, toasted",263,:bread:
"Leavening agents, yeast, baker's, compressed",407,🍞
"Bread, rice bran, toasted",478,🍞
"Tortillas, ready-to-bake or -fry, flour, refrigerated",265,🌮
"Waffles, plain, prepared from recipe",395,🍳
"Tortillas, ready-to-bake or -fry, corn",285,🌮
"Waffles, plain, frozen, ready-to-heat",279,🍳
"Sweet rolls, cinnamon, commercially prepared with raisins",3,🍞
"Strudel, apple",151,🌱
"Rolls, hard (includes kaiser)",489,🍞
"Sweet rolls, cheese",343,🍞
"Rolls, dinner, oat bran",475,🍞
"Pie crust, standard-type, frozen, ready-to-bake, enriched, baked",294,🥧
"Rolls, dinner, egg",467,🍞
"Rolls, dinner, rye",51,🍞
"Pie crust, standard-type, prepared from recipe, baked",324,🥧
"Rolls, dinner, wheat",419,🍞
"Pie crust, standard-type, dry mix, prepared, baked",328,🥧
"Pie, pecan, commercially prepared",205,🥧
"Pie crust, standard-type, dry mix",339,🥧
"Pie crust, standard-type, frozen, ready-to-bake, enriched",255,🥧
"Pie, peach",81,🍑
"Pie, mince, prepared from recipe",112,🥧
"Pie, chocolate mousse, prepared from mix, no-bake type",166,🍫
"Pie, banana cream, prepared from mix, no-bake type",161,🍌
"Pie, lemon meringue, prepared from recipe",194,🍋
"Pie, coconut cream, prepared from mix, no-bake type",13,🥧
"Pie, coconut creme, commercially prepared",98,🥧
"Pancakes, plain, prepared from recipe",319,🌱
"Pie, apple, prepared from recipe",118,🍎
"Pie, apple, commercially prepared, enriched flour",88,🍎
"Pancakes, plain, dry mix, incomplete (includes buttermilk)",494,🌱
"Pancakes, whole-wheat, dry mix, incomplete, prepared",419,🌱
"Pancakes, plain, dry mix, incomplete, prepared",384,🌱
"Ice cream cones, cake or wafer-type",4,🍦
"Pancakes, plain, dry mix, complete, prepared",255,🌱
"Ice cream cones, sugar, rolled-type",39,🍦
"Muffins, corn, toaster-type",271,🍞
"Muffins, corn, prepared from recipe, made with low fat (2%) milk",35,🌱
"Muffins, corn, commercially prepared",297,🍞
"Muffins, corn, dry mix, prepared",367,🍞
"Muffins, English, plain, toasted, enriched, with calcium propionate (includes sourdough)",491,:bread:
"Hush puppies, prepared from recipe",382,🍴
"Muffins, English, raisin-cinnamon (includes apple-cinnamon)",343,🍞
"Muffins, English, plain, enriched, with ca prop (includes sourdough)",417,:bread:
"French toast, prepared from recipe, made with low fat (2%) milk",389,🌱
"Muffins, English, mixed-grain (includes granola)",449,:bread:
"Doughnuts, cake-type, plain, sugared or glazed",244,🍩
"Doughnuts, cake-type, chocolate, sugared or glazed",224,:cake:
"Doughnuts, cake-type, plain, chocolate-coated or frosted",223,:cake:
"Croissants, cheese",455,🌱
"Cream puff shell, prepared from recipe",466,🍮
"Croissants, apple",359,🌱
"Croissants, butter",416,🌱
"Crackers, wheat, regular",396,🍞
"Crackers, rusk toast",668,🍞
"Crackers, milk",376,🍪
"Crackers, standard snack-type, regular",331,🍞
"Crackers, standard snack-type, sandwich, with cheese filling",447,🧀
"Crackers, standard snack-type, sandwich, with peanut butter filling",582,🍞
"Crackers, melba toast, wheat",615,🍞
"Crackers, melba toast, rye (includes pumpernickel)",569,🍞
"Cookies, vanilla wafers, higher fat",235,🍪
"Crackers, melba toast, plain",596,🍞
"Crackers, cheese, regular",49,🧀
"Crackers, cheese, sandwich-type with peanut butter filling",652,🍞
"Cookies, sugar wafer, with creme filling, sugar free",145,🍪
"Cookies, sugar, commercially prepared, regular (includes vanilla)",25,🍪
"Cookies, sugar, refrigerated dough",207,🍪
"Cookies, vanilla wafers, lower fat",243,🍪
"Cookies, peanut butter sandwich, special dietary",509,🍪
"Cookies, shortbread, commercially prepared, pecan",239,🌱
"Cookies, peanut butter sandwich, regular",442,🍪
"Cookies, peanut butter, prepared from recipe",46,🍪
"Cookies, raisin, soft-type",187,🍪
"Cookies, oatmeal, dry mix",327,🍪
"Cookies, oatmeal, refrigerated dough",278,🍪
"Cookies, graham crackers, chocolate-coated",178,🍪
"Cookies, oatmeal, refrigerated dough, baked",309,🍪
"Cookies, ladyfingers, with lemon juice and rind",511,🌱
"Cookies, chocolate chip, refrigerated dough, baked",242,🍪
"Cookies, chocolate chip, refrigerated dough",218,🍪
"Cookies, gingersnaps",263,🍪
"Cookies, chocolate chip, dry mix",224,🍪
"Cookies, fudge, cake-type (includes trolley cakes)",207,🍪
"Cookies, chocolate chip, prepared from recipe, made with margarine",271,🌱
"Cake, yellow, commercially prepared, with vanilla frosting",174,🌱
"Cake, pudding-type, yellow, dry mix",188,🍰
"Cookies, brownies, dry mix, regular",191,🍪
"Cookies, butter, commercially prepared, enriched",299,🍪
"Cake, yellow, enriched, dry mix",204,🍰
"Cookies, brownies, prepared from recipe",298,🍪
"Cake, snack cakes, creme-filled, sponge",138,🍰
"Cake, pound, commercially prepared, other than all butter, enriched",259,🌱
"Cake, shortcake, biscuit-type, prepared from recipe",302,🌱
"Cake, snack cakes, creme-filled, chocolate with frosting",156,:cake:
"Cake, pudding-type, chocolate, dry mix",218,🌱
"Cake, coffeecake, cinnamon with crumb topping, dry mix, prepared",271,🍰
"Cake, coffeecake, creme-filled with chocolate frosting",242,:cake:
"Cake, fruitcake, commercially prepared",14,:cake:
"Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",203,🌱
"Cake, coffeecake, fruit",249,🌱
"Bread, sticks, plain",59,🌱
"Bread, stuffing, dry mix",553,🍞
"Bread, stuffing, dry mix, prepared",142,🍞
"Cake, pudding-type, carrot, dry mix",238,🌱
"Cake, cherry fudge with chocolate frosting",98,:cake:
"Bread, crumbs, dry, grated, plain",655,🍞
"Bread, white, prepared from recipe, made with nonfat dry milk",383,🌱
"Bread, white, commercially prepared, toasted",444,🍞
"Bread, white, prepared from recipe, made with low fat (2%) milk",389,🍞
"Bread, rice bran",439,🍞
"Bread, reduced-calorie, white",419,🍞
"Bread, reduced-calorie, rye",457,🍞
"Bread, reduced-calorie, oatmeal",381,🌱
"Bread, pumpernickel",422,🍞
"Bread, multi-grain, toasted (includes whole-grain)",421,🍞
"Bread, irish soda, prepared from recipe",3,🍞
"Bread, protein (includes gluten)",596,🍞
"Bread, pita, whole-wheat",47,🍞
"Bread, pita, white, enriched",446,🍞
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",343,🌱
"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",343,🍞
"Bread, french or vienna, toasted (includes sourdough)",543,🍞
"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",33,🍞
"Bread, boston brown, canned",233,🍞
"Biscuits, plain or buttermilk, refrigerated dough, lower fat",337,🍪
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",577,🍞
"Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked",391,🍪
"Bagels, egg",523,🥯
"Biscuits, plain or buttermilk, dry mix",392,🍪
"Bread, banana, prepared from recipe, made with margarine",218,🌱
"Biscuits, plain or buttermilk, dry mix, prepared",355,🍪
"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean and fat, trimmed to 0 fat, cooked, grilled",1149,🌱
"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean and fat, trimmed to 1/8 fat, cooked, roasted",1148,🌱
"Lamb, Australian, imported, fresh, external fat, raw",468,🐑
"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8 fat, cooked, roasted",1121,🌱
"Lamb, Australian, imported, fresh, external fat, cooked",628,🍖
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8 fat, cooked, braised",1098,🌱
"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8 fat, raw",816,🌱
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8 fat, raw",765,🌱
"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8 fat, cooked, roasted",1152,🌱
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8 fat, raw",836,🌱
"Lamb, Australian, imported, fresh, rack, roast, frenched, denuded, bone-in, separable lean only, trimmed to 0 fat, cooked, roasted",986,🌱
"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean only, trimmed to 1/8 fat, cooked, roasted",1041,🌱
"Veal, external fat only, cooked",617,🌱
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8 fat, cooked, braised",1143,🌱
"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean only, trimmed to 1/8 fat, cooked, roasted",1064,🌱
"Veal, seam fat only, raw",506,🍖
"Veal, external fat only, raw",357,🍖
"Veal, shoulder, blade chop, separable lean only, cooked, grilled",1103,🌱
"Lamb, New Zealand, imported, tenderloin, separable lean and fat, raw",805,🌱
"Veal, leg, top round, cap off, cutlet, boneless, cooked, grilled",1287,🌱
"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean and fat, raw",728,🌱
"Veal, ground, cooked, pan-fried",1042,🌱
"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, cooked, slow roasted",822,🌱
"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, cooked, braised",1055,🌱
"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, raw",67,🌱
"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",0,🌱
"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",146,🌱
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",15,🍫
"Beverages, carbonated, orange",0,🍊
"Beverages, carbonated, club soda",0,🌱
"Beverages, almond milk, chocolate, ready-to-drink",28,🌱
"Alcoholic beverage, distilled, vodka, 80 proof",0,🍸
"Alcoholic beverage, distilled, rum, 80 proof",0,🍹
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0,🍸
"Snacks, Pretzels, gluten- free made with cornstarch and potato flour",31,🌱
"Soup, hot and sour, Chinese restaurant",85,🍜
"Soup, egg drop, Chinese restaurant",28,🍜
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",294,🌱
"Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut",471,🌱
"Snacks, vegetable chips, made from garden vegetables",23,🍅
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors",322,🌱
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush",1337,🌱
"Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE",111,🌱
"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",323,🌱
"Snacks, sweet potato chips, unsalted",278,🍠
"Beef, flank, steak, separable lean only, trimmed to 0 fat, select, raw",847,🌱
"Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor",34,🌱
"Beef, flank, steak, separable lean only, trimmed to 0 fat, all grades, raw",852,🌱
"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0 fat, select, cooked, roasted",1073,🌱
"Beef, flank, steak, separable lean only, trimmed to 0 fat, select, cooked, broiled",1104,🌱
"Beef, flank, steak, separable lean only, trimmed to 0 fat, all grades, cooked, broiled",1102,🌱
"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0 fat, choice, raw",836,🌱
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, select, cooked, braised",1367,🌱
"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0 fat, all grades, raw",84,🌱
"Beef, brisket, flat half, separable lean only, trimmed to 1/8 fat, select, cooked, braised",131,🌱
"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0 fat, choice, cooked, roasted",104,🌱
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8 fat, choice, raw",874,🌱
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8 fat, choice, raw",865,🌱
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, select, raw",879,🌱
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8fat, choice, cooked, broiled",1117,🌱
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8 fat, choice, raw",874,🌱
"Beef, brisket, flat half, separable lean only, trimmed to 1/8 fat, select, raw",847,🌱
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8 fat, all grades, raw",914,🌱
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0 fat, all grades, raw",801,🌱
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8 fat, all grades, cooked",1189,🌱
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0 fat, all grades, raw",866,🌱
"Beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned",1148,🍔
"Beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked",1054,🍔
"Beef, ground, 93% lean meat / 7% fat, crumbles, cooked, pan-browned",1126,🍔
"Beef, ground, 93% lean meat /7% fat, patty, cooked, pan-broiled",998,🍔
"Beef, ground, 93% lean meat / 7% fat, patty, cooked, broiled",1022,🍔
"Beef, New Zealand, imported, striploin, separable lean and fat, cooked, fast fried",968,🌱
"Beef, New Zealand, imported, rump centre, separable lean and fat, raw",842,🌱
"Beef, New Zealand, imported, rump centre, separable lean only, raw",845,🍖
"Beef, New Zealand, imported, rump centre, separable lean and fat, cooked, fast fried",1167,🌱
"Beef, New Zealand, imported, flat, separable lean and fat, cooked, braised",1239,🌱
"Beef, New Zealand, imported, flank, separable lean and fat, cooked, braised",1171,🌱
"Beef, New Zealand, imported, flank, separable lean and fat, raw",782,🌱
"Beef, New Zealand, imported, eye round, separable lean and fat, cooked, slow roasted",1147,🌱
"Beef, New Zealand, imported, eye round, separable lean and fat, raw",773,🍖
"Beef, New Zealand, imported, brisket point end, separable lean and fat, cooked, braised",1242,🍖
"Beef, New Zealand, imported, variety meats and by-products, tongue, raw",691,🌱
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, raw",615,🌱
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised",783,🌱
"Beef, New Zealand, imported, brisket point end, separable lean and fat, raw",78,🌱
"Beef, New Zealand, imported, oyster blade, separable lean and fat, raw",827,🌱
"Beef, New Zealand, imported, striploin, separable lean only, raw",814,🌱
"Beef, New Zealand, imported, variety meats and by-products, tongue, cooked, boiled",712,🌱
"Beef, New Zealand, imported, tenderloin, separable lean only, raw",824,🌱
"Beef, New Zealand, imported, manufacturing beef, cooked, boiled",941,🍖
"Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried",1173,🍔
"Beef, New Zealand, imported, striploin, separable lean only, cooked, fast fried",1109,🌱
"Beef, New Zealand, imported, variety meats and by-products, liver, raw",797,🌱
"Beef, New Zealand, imported, ribs prepared, raw",828,🍖
"Beef, New Zealand, imported, inside, raw",862,🍖
"Beef, New Zealand, imported, hind shin, separable lean only, cooked, braised",1214,🌱
"Beef, New Zealand, imported, hind shin, separable lean only, raw",834,🌱
"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",906,🌱
"Beef, New Zealand, imported, variety meats and by-products, kidney, raw",61,🍖
"Beef, New Zealand, imported, cube roll, separable lean only, raw",769,🍖
"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted",117,🌱
"Beef, New Zealand, imported, eye round, separable lean only, cooked, slow roasted",1154,🍖
"Beef, New Zealand, imported, eye round, separable lean only, raw",783,🌱
"Beef, New Zealand, imported, variety meats and by-products, heart, raw",72,🍖
"Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised",1141,🍖
"Beef, New Zealand, imported, bolar blade, separable lean only, raw",859,🍖
"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",768,🌱
"Beef, New Zealand, imported, bolar blade, separable lean only, cooked, fast roasted",1303,🌱
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8 fat, all grades, raw",846,🌱
"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8 fat, select, cooked, roasted",1106,🌱
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, grilled",105,🌱
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8 fat, select, cooked, grilled",1099,🌱
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8 fat, choice, cooked, grilled",1025,🌱
