name,phe
Wildreis roh,752
Wildreismischung roh,479
Basmatireis roh,443
Reis Grieß,362
Reis halbpoliert roh,376
Reis parboiled roh,331
Getreidemischung Flocken,534
Milchreis ganzes Korn roh,362
Grünkern Schrot,538
Grünkern Mehl,483
Mehlmischung eiweißarm glutenfrei natriumarm,22
Mehlmischung für Brot glutenfrei,93
Kuchenmehlmischung glutenfrei,71
Mehrkornschrot,540
Buchweizen Vollkornmehl,520
Buchweizen Schrot,403
Buchweizen Mehl,211
Buchweizen Mehl hell,211
Hirse Schrot,422
Hirse Mehl,231
Mais Schrot,447
Mais Mehl,410
Mais Stärke,22
Reis Mehl,390
Reis Stärke,42
Reis Kleie,678
Getreidemischung Schrot,539
Getreideerzeugnisse roh,549
Getreideerzeugnisse Frühstückscerealien,549
Grits,437
Müsli,549
Früchte-Müsli,517
Schoko-Müsli,512
Cornflakes,430
Schoko-Reiscrispies,290
Nuss-Reiscrispies,260
Getreideflocken,712
Joghurt-Müsli,564
Joghurt-Schoko-Müsli,527
Joghurt-Früchte-Müsli,532
Polenta roh,113
Puffweizen,660
Puffreis,382
Schoko-Puffreis,406
Popcorn,631
Apfel-Zimt-Ringe,287
Schoko-Cornpops,295
Kokos-Cornpops,235
Cornpops,237
Weizenpops,363
Nuss-Weizenpops,383
Weizentaschen,441
Honig-Müsli,524
Schoko-Honig-Müsli,488
Karamell-Honig-Müsli,425
Früchte-Honig-Müsli,493
Tortillachips (Nachos),310
Hirse-Müsli glutenfrei,429
Malzprodukte,212
Biomalz,212
Kleber (Gluten),4050
Mehrkornflocken,473
Weizengluten Trockenprodukt,4050
Weizenglutenmischung Trockenprodukt,3612
Glutenfleisch (milchnass),631
Glutenfleisch (braun),1079
Reisnudeln,0
Mehlmischungen,430
Getreidepastete,244
Flädle Trockenprodukt,600
Grießklößchen Trockenprodukt,600
Grütze Konserve,479
Pikanter Reistopf energiereduziert,109
Gemüse-Reistopf energiereduziert,84
Feinbackwaren Torten Kuchen,140
Backerbsen,337
Salzgebäck,469
Kümmelstange,452
Zwieback,484
Nährzwieback,535
Eierzwieback,592
Schokozwieback,455
Kokoszwieback,378
Butterzwieback,529
Zwieback eifrei,520
Zwieback glutenfrei,392
Erdnussflips,532
Cracker,528
Käse-Cracker,723
Pizza-Cracker,557
Knabbergebäck,469
Salzstangen,469
Teigarten roh,357
"Ausbackteig, süß roh",362
Blätterteig roh,198
Brandmasse roh,289
Hefeteig roh,357
Hefeteig leicht roh,373
Hefeteig mittelschwer roh,357
Hefeteig schwer roh,324
Bierteig roh,382
Pizzateig roh,281
Biskuit eiweißarm glutenfrei natriumarm,13
Diabetikerbackwaren,984
Vollkornzwieback für Diabetiker,984
Sacherboden,383
Wienerboden,390
Biskuit-Roulade,396
Schokobiskuit leicht,489
Schokobiskuit schwer,450
Schoko-Roulade,484
Kombinationsgebäck,309
Zwiebelkuchen,309
Obstkuchen aus Rührmasse,171
Obstkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),170
Apfelkuchen aus Rührmasse,171
Spiegeleierkuchen aus Rührmasse,145
Obstkuchen aus Hefeteig energiereduziert,158
Obstkuchen aus Hefeteig energiereduziert (mit Wasser zubereitet),140
Apfelkuchen aus Hefeteig energiereduziert,158
Blaubeerkuchen aus Hefeteig energiereduziert,263
Obstkuchen aus Hefeteig fettreich,294
Obstkuchen aus Quarkölteig,496
Obstkuchen aus Mürbeteig fettreich,140
Apfel-Streuselkuchen aus Mürbeteig fettreich,94
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 3,5 % Fett zubereitet)",99
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 1,5% Fett zubereitet)",98
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Buttermilch zubereitet),100
Obsttorten,85
Quark-Apfel-Torte,352
Obsttorten aus Rührmasse,151
Obsttorte aus Rührmasse,151
Obsttorte aus Sandmasse,123
Obsttorten aus Mürbeteig fettreich,95
Kirschtorte aus Mürbeteig fettreich,234
Obsttörtchen aus Mürbeteig fettreich,95
Mohn-Apfeltorte aus Mürbeteig fettreich,248
Mohn-Apfeltorte aus Mürbeteig fettreich (ohne Flüssigkeit zubereitet),253
Torten,228
Cremetorte,285
Sachertorte,337
Käsesahnetorte,221
Nusssahnetorte,349
Linzertorte,415
Schwarzwälder Kirschtorte,228
Marzipantorte,317
"Sachertorte (mit Milch 1,5% Fett zubereitet)",302
"Nusssahnetorte (mit Milch 1,5% Fett zubereitet)",273
Französische Schokoladentorte,404
Makronentorte,475
Baisertorte,153
Charlotte Torte (Mokka),289
Holländer Kirschsahne-Torte/-Schnitten,129
Flockensahne,176
Herrentorte,289
Torte aus Biskuitmasse,279
Cremetorte aus Biskuitmasse,285
Käsetorte aus Biskuitmasse,221
Käsesahnetorte aus Biskuitmasse,221
Biskuitrolle,258
Buttercremetorte aus Biskuitmasse,285
Aprikosen-Sahne-Torte aus Biskuitmasse,138
Biskuitrollenbombe,154
Zuger Kirschtorte aus Biskuitmasse,256
Buchweizenmehl-Torte aus Biskuitmasse,220
Karotten-Nuss-Torte aus Biskuitmasse,357
Mokka-Sahne-Torte aus Biskuitmasse,251
Trüffel-Torte aus Biskuitmasse,283
Festliche Mokkacreme-Torte aus Biskuitmasse,292
Erdbeer-Sahne-Torte aus Biskuitmasse,212
Schokoladen-Sahne-Torte aus Biskuitmasse,270
Zitronen-Sahne-Torte aus Biskuitmasse,212
Zaubertorte aus Biskuitmasse,274
Mokka-Buttercremetorte aus Biskuitmasse,324
Schokoladen-Buttercremetorte aus Biskuitmasse,321
Biskuit-Obsttorte,191
"Biskuit-Obsttorte (mit Milch 3,5 % Fett zubereitet)",189
"Biskuit-Obsttorte (mit Milch 1,5% Fett zubereitet)",190
Torte aus Wienermasse,273
Cremetorte aus Wienermasse,273
Joghurt-Sahne Torte,227
Torte aus Rührmasse,443
Cremetorte aus Rührmasse,273
Käsetorte aus Rührmasse,443
Schokoladentorte aus Rührmasse,273
Prinzregententorte,286
Schokoladen-Nuss-Torte aus Rührmasse,452
Schokoladen-Kirsch-Torte aus Rührmasse,222
Torte aus Sandmasse,175
Cremetorte aus Sandmasse,175
Traubentorte aus Sandmasse,114
Mandelsandtorte,417
Torte aus Mürbeteig fettreich,432
Käsetorte aus Mürbeteig fettreich,432
Tortenboden aus Mürbeteig fettreich,304
Kuchen,290
Nusskuchen,493
Englischer Teekuchen,214
Muffins (englischer Teekuchen),337
Englischer Teekuchen (mit Buttermilch zubereitet),350
Kartoffelkuchen,267
Honigkuchen,213
Rahmkuchen,347
Kuchen aus Biskuitmasse,292
Biskuitschnitte,292
Bismarck-Eiche aus Biskuitmasse,269
Mandarinen-Omelettkuchen aus Biskuitmasse,185
Rehrücken aus Biskuitmasse,385
Früchtebrot,313
Sandmasse roh,238
Rührmasse roh,326
Rührkuchen,326
Kuchen aus Rührmasse,317
Donau-Wellen aus Rührmasse (ohne Flüssigkeit zubereitet),214
Nusskuchen aus Rührmasse,493
Rosinenkuchen aus Rührmasse,279
Nuss-Aprikosen-Kuchen aus Rührmasse,320
Marmorkuchen aus Rührmasse (mit Wasser zubereitet),302
Marmorkuchen aus Rührmasse (ohne Fett zubereitet),389
Marmorkuchen aus Rührmasse,394
Mandelkuchen aus Rührmasse,493
Makronenkuchen aus Rührmasse,447
Donau-Wellen aus Rührmasse,193
Schichtkuchen aus Rührmasse,280
Rodon-Kuchen aus Rührmasse,278
Apfelsinen-Kuchen aus Rührmasse,247
Ananas-Marzipan-Kuchen aus Rührmasse,368
Ottilienkuchen aus Rührmasse,424
Marmorkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),321
Rehrücken aus Rührmasse,430
Eiserkuchen aus Rührmasse,232
Früchtebrot aus Rührmasse,313
Quarkstollen aus Rührmasse,272
Schokoladenkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),396
Schokoladenkuchen aus Rührmasse (ohne Fett zubereitet),428
Quark-Napfkuchen aus Rührmasse,443
Schokoladenkuchen aus Rührmasse,412
Gewürzkuchen aus Rührmasse,346
Kuchen aus Sandmasse,238
Sandkuchen,238
Napfkuchen aus Sandmasse,252
Nusskuchen aus Sandmasse,435
Englischer Kuchen aus Sandmasse,252
Königskuchen aus Rührmasse,271
Frankfurter Kranz aus Sandmasse (ohne Flüssigkeit zubereitet),292
Frankfurter Kranz aus Sandmasse,175
Wiener Sandtorte,229
Kuchen aus Hefeteig energiereduziert,376
Hefezopf aus Hefeteig energiereduziert,376
Hefezopf Dreierlei aus Hefeteig energiereduziert,406
Anis-Zopf aus Hefeteig energiereduziert,359
Mohnrolle aus Hefeteig energiereduziert,426
"Mohnrolle aus Hefeteig energiereduziert (mit Milch 1,5% Fett zubereitet)",404
Mohnrolle aus Hefeteig energiereduziert (mit Wasser zubereitet),384
Mohnrolle aus Hefeteig energiereduziert (ohne Flüssigkeit zubereitet),451
Mohnrolle aus Hefeteig ohne Fett,404
Kuchen aus Hefeteig fettreich,290
Bienenstich aus Hefeteig ohne Fett (mit Buttermilch zubereitet),331
Bienenstich aus Hefeteig fettreich (mit Wasser zubereitet),244
Bienenstich aus Hefeteig fettreich (mit Buttermilch zubereitet),307
Käsekuchen aus Hefeteig fettreich,286
Bienenstich aus Hefeteig fettreich,297
Streuselkuchen aus Hefeteig fettreich,290
Brioches ohne Füllung,360
Butterkuchen aus Hefeteig fettreich,308
Plattenkuchen aus Hefeteig fettreich,361
Zuckerkuchen aus Hefeteig fettreich,335
Hamburger Kaffeebrot aus Hefeteig fettreich,296
Mandelbrot aus Hefeteig fettreich,370
Mandelkuchen aus Hefeteig fettreich,414
Rosenkuchen aus Hefeteig fettreich,292
Dresdner Stollen aus Hefeteig fettreich,295
Dresdner Stollen aus Hefeteig fettreich (mit Wasser zubereitet),275
Mohnstollen aus Hefeteig fettreich,419
Marzipanstollen aus Hefeteig fettreich,323
Marzipanstollen aus Hefeteig fettreich (ohne Flüssigkeit zubereitet),337
Plunder-Kranz aus Hefeteig fettreich,343
Nusskranz aus Hefeteig fettreich,310
Mandelkranz aus Hefeteig fettreich,375
Bienenstichkranz aus Hefeteig fettreich,310
Mohnkranz aus Hefeteig fettreich,361
Braunschweiger Hefekuchen aus Hefeteig fettreich,297
Thüringer Obstkuchen aus Hefeteig fettreich,294
Gedeckter Apfelblechkuchen aus Hefeteig fettreich,129
Kuchen aus Quarkölteig,496
Rosenkuchen aus Quarkölteig,385
Mohn-Gitter-Torte aus Quarkölteig,436
Gerollte Schnitte aus Quarkölteig,338
Quark-Tasche aus Quarkölteig,496
Schinken-Röllchen aus Quarkölteig,518
Kuchen aus Mürbeteig,155
Käsekuchen aus Mürbeteig,432
Napfkuchen aus Mürbeteig,430
Nusskuchen aus Mürbeteig,370
Käsekuchen aus Mürbeteig (mit Wasser zubereitet),412
Käsekuchen aus Mürbeteig (ohne Flüssigkeit zubereitet),469
Käsekuchen aus Mürbeteig (mit Buttermilch zubereitet),436
Zwetschgenkuchen aus Mürbeteig,155
Mandeltorte (Mazarin-Torte) aus Mürbeteig,430
Haselnuss-Kranz aus Mürbeteig,370
Kuchen aus Blätterteig,416
Französische Apfeltorte aus Blätterteig,107
Kuchen eiweißarm glutenfrei natriumarm,21
Teekuchen glutenfrei,264
Kuchen/Torten aus Strudelteig,458
Wiener Apfel-Strudel,102
Apfelstrudel,108
Kirschstrudel,146
Quarkstrudel,458
"Kirschstrudel (mit Milch 3,5% Fett zubereitet)",163
Plätzchen aus Baisermasse,478
Russisch-Brot aus Baisermasse,478
Baiser,329
Schokoladen-Baiser,427
Zimtsterne aus Baisermasse,678
Zuckerlis aus Baisermasse,695
Wespennester aus Baisermasse,592
Maiskeks glutenfrei,253
Schokokeks glutenfrei,317
Zitronenkeks glutenfrei,150
Müslikeks glutenfrei,461
Löffelbiskuit glutenfrei,425
Haselnussgebäck glutenfrei,234
Waffeln glutenfrei,157
Gewürzgebäck glutenfrei,133
Joghurtriegel glutenfrei,358
Waffelmassenbackwaren,307
Waffeln,307
Eiswaffeln,322
Waffelkeks,322
Sahnewaffel,307
Sandwaffel,454
Apfelwaffel,440
Gewürzwaffel,390
Schinkenwaffel,704
Käsewaffel,659
Diabetikergebäck,627
Eiswaffeln für Diabetiker,452
Haferkeks für Diabetiker,627
Waffeln eiweißarm glutenfrei,25
Kleinteile aus Hartkeksteig,391
Butterkeks,391
Feinbackwaren aus Strudelteig,537
Lebkuchenteigbackwaren,524
Dominosteine,320
Weißer Lebkuchen,374
Elisenlebkuchen,524
Lebkuchen,554
Schokoladen-Lebkuchen,607
Printen,438
Nussprinten,438
Schokoladen-Printen,377
Back-Oblaten (50mmØ),365
Pfeffernüsse,374
Nürnberger Lebkuchen,352
Liegnitzer,342
Feiner Honigkuchen,368
Ostpreußischer Honigkuchen,315
Dicker Honigkuchen,309
Pfefferkuchen,351
Sirupkuchen,309
Kathrinchen (Honigteigplätzchen),296
Honigkuchenplätzchen,295
Pflastersteine,264
Honigkuchenhäufchen,287
Ölsamenmassenbackwaren,303
Makronen,652
Kokosmakronen,303
Mandelmakronen,800
Schokoladen-Kokosmakronen,407
Schokoladen-Haselnussmakronen,550
Marzipan-Monde,724
Baumkuchenmassenbackwaren,421
Baumkuchen,421
Plätzchen Kekse,309
Zedernbrot,485
Raspeli,310
Haferflockenplätzchen,405
Haferflocken-Nussgebäck,415
Springerle,333
Baklava,309
Aprikosen-Krapfen (mit Wasser zubereitet),145
Aprikosen-Krapfen,149
Apfelscheiben in Rumteig,133
Bananen im Ausbackteig,212
Plätzchen aus Biskuitmasse,615
Schokoladen-Biskuitplätzchen,619
Löffelbiskuit aus Biskuitmasse,615
Biskuitplätzchen,569
Biskuitkapseln,615
Anisplätzchen aus Biskuitmasse,431
Amerikanische Cookies,322
Orangenplätzchen aus Biskuitmasse,282
Plätzchen eiweißarm glutenfrei natriumarm,20
Plätzchen aus Brandmasse,289
Flockentorte aus Brandmasse,189
Preiselbeer-Kranz aus Brandmasse,242
Käse-Windbeutel aus Brandmasse,402
Fettgebackenes aus Brandmasse,401
Eberswalder Spritzkuchen aus Brandmasse,284
Plätzchen aus Mürbeteig,409
Spritzgebäck aus Rührteig,348
Spekulatius aus Mürbeteig,409
Käsemürbeteigplätzchen,758
Teegebäck aus Mürbeteig,360
Fettgebackenes aus Mürbeteig,331
Silvester-Rosen aus Mürbeteig,530
Vanille-Mürbchen,263
Aprikosen-Mandel-Schnitten aus Mürbeteig,326
Nusstaler aus Mürbeteig,363
Streuselplätzchen aus Mürbeteig,331
Schoko-Eierlikör-Kränzchen aus Mürbeteig,277
Erdnuss-Teilchen aus Mürbeteig,580
Schwarz-Weiß-Gebäck aus Mürbeteig,329
Nussecken aus Mürbeteig,379
Dukatenplätzchen aus Mürbeteig,358
Mandelgebäck aus Mürbeteig,445
Buttergebäck aus Mürbeteig,309
Husarenkrapfen aus Mürbeteig,346
Haselnusskugeln aus Mürbeteig,394
Nussstangen aus Mürbeteig,348
Spitzbuben aus Mürbeteig,402
Orangentäschchen aus Mürbeteig,355
Haselnuss-Dreispitz aus Mürbeteig,435
Käseknusperchen aus Mürbeteig,610
Plätzchen aus Hefeteig energiereduziert,356
Berliner (Pfannkuchen) aus Hefeteig energiereduziert,406
Hörnchen aus Hefeteig energiereduziert,356
Kartoffelhörnchen aus Mürbeteig,275
Nusshörnchen aus Hefeteig fettreich,345
Wiener Hörnchen aus Hefeteig fettreich,306
Butterhörnchen aus Hefeteig energiereduziert,353
